"census_tract","femaleP","childP","Ov70P","IncomeBl10KP","Income50K200KP","IncomeOv200KP","InLaborP","ByCarP","CommuteOv20minP","NHwhiteP","blackP","asianP","hisP","minDisHosp","FQHCdrivetime","FQHCcount","Hospdrivetime","Hospcount","Rxdrivetime","Rxcount","MHdrivetime","MHcount","noHSP","disbP","SDOH","unempP","povP","pciE","NoIntPct","essnWrkP","vacantP","mobileP"
36047112200,58.3727034120735,31.8635170603675,5.74803149606299,24.4671781756181,29.923273657289,0,50.8660303994344,6.71615411806292,40.0141392718275,2.07349081364829,75.9055118110236,1.49606299212598,23.5433070866142,2,0,369,4.65,63,1.42,2467,2.74,242,22.63,14.6,4,10.9,24.9,16911,19.19,62.31,9.71,0
36081004401,49.948347107438,28.4607438016529,6.40495867768595,9.45802337938363,51.8597236981934,2.23166843783209,56.2774957698816,21.3197969543147,39.6954314720812,10.3047520661157,7.69628099173554,48.6053719008264,28.202479338843,3.65,1.9,450,8.31,63,0,2649,3.44,258,24.19,10.1,6,3.4,21.6,20934,8.46,50.25,7.29,0.52
36081084900,51.3315991576861,27.0035922209835,5.94574507617986,12.0946538124452,24.9780893952673,0,56.9071497897121,17.1627305079262,35.4092526690391,1.10244023287502,6.89954168215038,73.4794995664561,13.8486312399356,0.89,1.03,491,2.42,87,0,3074,1.03,321,34.89,3.4,5,6.3,40.1,15696,28.61,56.6,12.5,1.48
36081057700,51.9370157460635,21.5696075981005,6.54836290927268,5.58867362146051,55.1415797317437,2.08643815201192,63.8229258282029,18.7335092348285,54.353562005277,50.687328167958,0.94976255936016,5.12371907023244,41.6145963509123,1.9,3.06,486,4.26,79,0,2973,1.62,298,14.68,6.6,6,5.3,10.9,27925,16.43,48.03,7.9,0
34013023000,53.5739070090215,22.5190839694656,9.57668285912561,29.9196787148594,13.855421686747,1.00401606425703,44.6443514644351,14.6861924686192,18.2845188284519,0.971547536433033,82.7897293546148,0,14.8507980569049,0.41,1.66,254,1.86,76,0,1884,0,211,30.42,25.7,4,29,61.1,12252,28.77,62.21,17.71,0
34035051600,53.4980744544288,23.01026957638,11.0718870346598,3.90417036379769,61.1357586512866,4.70275066548358,67.5319789315275,54.7404063205418,36.719337848006,71.0847240051348,1.05905006418485,2.40693196405648,25.8023106546855,1.82,7.29,11,8.43,18,0,240,8.26,33,12.86,18.3,7,5.6,6.2,28978,13.02,47.59,9.76,0
34029731102,50.5292297671389,24.4748412310699,12.5386744829832,7.04654197477164,53.2840365376251,7.4815137016094,60.4813824315984,49.5165603785229,32.2773091956388,84.6767627422244,3.68018238071975,2.16577104706074,9.03761602344895,6.12,12.53,10,12.53,9,0,103,0,13,8.81,12.6,2,6.8,13.7,33124,13.65,47.95,3.58,0
36047035300,61.1870283499898,18.6008566183969,8.46420558841526,17.4377224199288,37.1123538383325,1.72852058973055,63.5333018422296,10.3212092583845,45.1818611242324,21.5378339791964,69.5492555578217,1.87640220273302,8.44380991229859,0.84,2.35,345,3.05,63,0,2412,1.9,234,22.46,11.6,6,6.7,17.5,25111,28.76,38.61,6.59,0
34023006203,48.1316455696203,25.2860759493671,5.80253164556962,2.19987429289755,63.7335009428033,12.2878692646134,63.2209460293936,47.6472767691738,38.6439422008151,34.0151898734177,21.6405063291139,36.3645569620253,7.52405063291139,6.42,12.34,9,13.75,16,0,330,9.6,31,5.58,6.8,2,4.7,8.8,43551,7.33,20.71,2.7,10.97
34023005100,46.9105289174493,31.1583456912177,3.67441094084693,23.58934169279,49.5297805642633,4.46708463949843,31.8528564163418,19.5117816579081,12.8326835056789,60.8666996210249,7.31586752347998,23.0350963914978,7.87609161311584,0.39,4.77,15,0,17,0,415,4.77,46,12.13,2.8,6,5.4,42.9,15714,5.17,32.89,15.97,0
36061023801,55.8956671696486,13.7637421858159,11.705108859668,7.30937348227295,58.4264205925206,14.52161243322,59.3549169394932,2.8131441736389,52.0067903480053,43.867212761371,12.4811381763311,28.0125026945462,12.6859236904505,0.63,4.77,472,6.71,75,0,2626,5.95,282,6.08,9,6,6.4,10.1,61005,4.64,20.7,12.14,0
34025809703,53.0781646299285,22.9421258934748,19.2298824071939,3.75,52.3214285714286,22.797619047619,58.0845070422535,37.6056338028169,34.7323943661972,82.0382753055107,1.56790408116209,10.8139266774268,4.31173622319576,6.62,11.62,20,15.07,17,4.02,334,10.21,37,4.57,13,2,8.4,2,59551,6.11,20.73,6.45,0
36081119900,47.599451303155,14.2661179698217,10.8367626886145,10.5263157894737,44.8421052631579,7.36842105263158,62.7172195892575,29.4628751974724,48.8151658767773,19.1358024691358,3.01783264746228,64.0603566529493,13.443072702332,0.51,3.54,466,1.76,80,1.46,2787,1.46,302,21.75,6.5,6,6.1,10.7,27205,11.47,51.11,6.74,0
34017016600,51.7626059794735,25.7920571173583,4.99776885319054,8.38971583220568,42.8281461434371,1.48849797023004,71.989966555184,26.3935340022297,48.4671125975474,8.96921017402945,5.89022757697456,4.08299866131191,81.8607764390897,2.14,1.76,502,5.58,106,0,3146,1.71,338,16.6,10.6,6,7.3,26.9,20000,17.64,53.79,2.55,0
36081012601,46.3545389563974,32.4160114367405,2.71622587562545,10.7586206896552,60.8275862068966,2.75862068965517,62.8257887517147,17.9698216735254,46.8221307727481,6.93352394567548,9.11365260900643,13.5096497498213,64.7248034310222,1.59,2.62,484,3.81,74,1.17,2862,5.62,288,20.08,5.2,6,6.8,10.8,24202,11.49,64.05,3.47,0
34017001900,40.261739799846,13.779830638953,5.85065434949961,10.0328947368421,50,3.45394736842105,61.1349957007739,8.68443680137575,50.3009458297506,15.9353348729792,10.2386451116243,67.590454195535,3.46420323325635,0.85,1.77,488,2.35,102,0,3069,2.35,330,15.31,9.6,6,3.9,25.2,32243,8.23,19.32,17.28,0
36081069400,57.1690694626474,28.0471821756225,6.42201834862385,4.25531914893617,66.4893617021277,6.29432624113475,71.9104876419506,36.4061456245825,57.1476285905144,3.22411533420708,85.5307994757536,2.12319790301442,7.86369593709043,3.42,3.57,339,7.83,62,2.73,2240,7.64,228,9.1,6.9,3,6.7,17.1,29212,10.19,56.4,2.44,0
34031180100,50.1878816345702,26.9962423673086,6.24706434945984,2.84225485551871,56.3240170535291,8.57413548081478,65.4826139088729,54.3764988009592,37.9796163069544,12.224048849225,22.7689055894786,15.8994833255049,54.1686237670268,2.45,3.81,273,5.07,63,0,1651,3.82,192,12.14,6.6,5,5.1,7.8,29188,15.82,50.73,5.67,0
36047048000,47.7166131819304,37.1760059244631,6.49222414218711,14.8320895522388,35.2611940298507,0.746268656716418,55.831608005521,17.4258109040718,36.1628709454796,65.2678351024438,3.52999259442113,10.6393483090595,20.5628239940755,1.86,3.06,339,6.03,54,0,2288,1.34,211,37.22,16.9,6,7.5,33.6,16439,25.85,44.83,6.36,0
36081046900,52.3918575063613,23.498727735369,8.12977099236641,9.39349112426035,33.8757396449704,3.18047337278107,58.5533685389662,8.33733397343575,46.935509681549,3.8676844783715,4.87277353689567,31.2086513994911,53.8422391857506,0.62,1.89,487,3.5,83,0,2971,3.03,316,26.28,10.7,6,4,17.7,19036,20.88,54.68,9.4,0
34035053102,54.7702355959879,18.6610683461628,7.9776067179846,5.10141364474493,71.7271051014136,6.02335586969883,72.4836042201312,56.6010835471913,45.5089820359281,21.1569862374621,28.7380452530907,30.5574994168416,16.4217401446233,1.66,6.62,11,4.51,18,0,372,6.62,40,2.63,7.3,6,9.3,8.3,41675,5.44,21.71,6.47,0
36119013600,54.010152284264,27.248730964467,9.21827411167513,4.04280618311534,54.8156956004756,6.42092746730083,74.5731547149987,47.7016023115314,43.7352245862884,36.7715736040609,12.7106598984772,6.25380710659899,43.3705583756345,5.59,3.55,26,11.7,13,3.55,139,5.15,32,18.43,8.2,5,1.4,5.7,39968,13.19,47.13,4.26,0
36081140902,51.1596638655462,20.2352941176471,9.10924369747899,1.36208853575482,71.05561861521,11.2372304199773,64.9794238683128,37.1604938271605,50.4526748971193,26.5546218487395,1.51260504201681,68.3697478991597,2.35294117647059,2.56,7.14,474,5.75,89,1.89,2931,6.08,312,23.04,8.3,2,3.8,6.9,35486,5.41,44.6,2.91,0
34013021601,52.5428229982738,23.8613729916346,16.2129863231975,0,60.378879484079,19.1455058444176,62.6766417290108,51.4879467996675,33.7489609310058,91.7673615721684,0,3.31961226928695,4.15615456114726,5.6,14.64,59,10.07,38,0,874,7.25,92,5.95,9.4,2,3.6,0.9,53635,6.85,31.43,7.82,0
