"wk2020.01.21","wk2020.01.27","wk2020.02.03","wk2020.02.10","wk2020.02.17","wk2020.02.24","wk2020.03.02","wk2020.03.09","wk2020.03.16","wk2020.03.23","wk2020.03.30","wk2020.04.06","wk2020.04.13","wk2020.04.20","wk2020.04.27","wk2020.05.04","wk2020.05.11","wk2020.05.18","wk2020.05.25","wk2020.06.01","wk2020.06.08","wk2020.06.15","wk2020.06.22","wk2020.06.29","wk2020.07.06","wk2020.07.13","wk2020.07.20","wk2020.07.27","wk2020.08.03","wk2020.08.10","wk2020.08.17","wk2020.08.24","wk2020.08.31","wk2020.09.07","wk2020.09.14","wk2020.09.21","wk2020.09.28","wk2020.10.05","wk2020.10.12","wk2020.10.19","wk2020.10.26","wk2020.11.02","wk2020.11.09","wk2020.11.16","wk2020.11.23","wk2020.11.30","wk2020.12.07","wk2020.12.14","wk2020.12.21","wk2020.12.28","wk2021.01.04","wk2021.01.11","wk2021.01.18","wk2021.01.25","wk2021.02.01","wk2021.02.08","wk2021.02.15","wk2021.02.22","wk2021.03.01","wk2021.03.08","wk2021.03.15","wk2021.03.22","wk2021.03.29","wk2021.04.05","wk2021.04.12","wk2021.04.19","wk2021.04.26","wk2021.05.03","wk2021.05.10","wk2021.05.17","wk2021.05.24","wk2021.05.31","wk2021.06.07","wk2021.06.14","wk2021.06.21","wk2021.06.28","wk2021.07.05","wk2021.07.12","wk2021.07.19","wk2021.07.26","wk2021.08.02","wk2021.08.09","wk2021.08.16","wk2021.08.23","wk2021.08.30","wk2021.09.06","wk2021.09.13","wk2021.09.20","wk2021.09.27","wk2021.10.04","wk2021.10.11","wk2021.10.18","wk2021.10.25","wk2021.11.01","wk2021.11.08","wk2021.11.15","wk2021.11.22","wk2021.11.29","wk2021.12.06","wk2021.12.13","wk2021.12.20","wk2021.12.27","wk2022.01.03","wk2022.01.10","wk2022.01.17","wk2022.01.24","wk2022.01.31","wk2022.02.07","wk2022.02.14","wk2022.02.21","wk2022.02.28","wk2022.03.07","wk2022.03.14","wk2022.03.21","wk2022.03.28","wk2022.04.04","wk2022.04.11","wk2022.04.18","wk2022.04.25","wk2022.05.02","wk2022.05.09","wk2022.05.16","wk2022.05.23","wk2022.05.30","wk2022.06.06","wk2022.06.13","wk2022.06.20","wk2022.06.27","wk2022.07.04","X"
0,0,0,0,0,0,129,442,9134,27425,48159,46698,40183,33463,20738,12968,9056,7004,5945,4225,2873,2225,3832,2480,2471,2038,2818,2889,2656,2951,2387,2607,3242,3136,3655,4639,5820,6728,7863,9303,12218,16848,26598,30353,32835,43496,44275,41601,41429,84643,65091,60332,52137,47265,34564,33110,29338,31806,31262,33975,36481,39234,37266,32780,28689,10961,13034,7982,4009,3706,2500,2033,2023,1710,1759,1591,2414,3799,6752,9299,12575,15602,17611,17686,17826,17656,19034,16659,14379,13997,12193,9940,10571,10537,14065,17587,19825,32508,40302,65606,142929,263599,285368,168847,77234,42833,23021,15649,13572,9123,8681,7097,8763,9398,11983,17179,20284,20961,28078,34489,44169,42299,34058,34264,25288,24009,24786,27848,28051,1
1,1,0,0,0,2,7,82,1107,3758,7033,9487,9184,13458,17153,14328,16317,14671,8758,6557,3953,3788,4464,4748,5703,6050,7391,7644,8571,8559,9173,8317,9222,6944,7819,8412,8961,11775,17976,22670,33386,52744,61257,55669,42566,50748,41985,33584,25809,29267,33480,27532,22301,16536,13098,10435,8475,9148,8955,7859,9503,11904,14198,17400,16564,14133,13481,10780,8120,7095,4319,2599,1807,1236,1202,905,2383,2665,4548,6949,10247,12231,12924,14478,10754,19561,14311,12288,11584,8102,13519,10361,11044,12444,16472,21053,19763,32487,32696,53357,83905,125601,151507,82418,154790,40733,31430,17543,7260,11096,6224,6515,6182,6736,6922,10290,12429,18293,21029,30482,34827,30023,17093,34517,20521,13180,25709,12641,27705,3
