,origin,destination,minutes
3277090,36085027301,36085014700,56.96
3277100,36085027301,36085013302,70.41
3277103,36085027301,36047005601,244.36
3277105,36085027301,36047005400,242.49
3277106,36085027301,36047005202,241.96
3277113,36085027301,36085006700,88.31
3277117,36085027301,36047005201,240.06
3277119,36085027301,36047005000,236.26
3277120,36085027301,36047004600,228.52
3277121,36085027301,36047004400,227.15
3277144,36085027301,36047005602,247.7
3277145,36085027301,36085015400,94.38
3277146,36085027301,36085012805,84.05
3277148,36085027301,36085013204,82.02
3277154,36085027301,36085015603,99.6
3277156,36085027301,36085019800,140.98
3277157,36085027301,36085020803,127.37
3277158,36085027301,36085017600,113.71
3277164,36085027301,36085020804,114.22
3277174,36085027301,36085017007,85.33
3277205,36085027302,36085012804,72.56
3277207,36085027302,36085011201,75.12
3277210,36085027302,36085027900,50.69
3277211,36085027302,36085012806,68.07
3277213,36085027302,36085013800,48.21
3277217,36085027302,36085018100,63.68
3277220,36085027302,36085027302,0.0
3277222,36085027302,36085027301,19.64
3277226,36085027302,36085007400,96.92
3277230,36085027302,36085027704,27.27
3277233,36085027302,36085029102,68.2
3277249,36085027302,36085001800,98.37
3277255,36085027302,36085014700,44.38
3277265,36085027302,36085013302,62.34
3277268,36085027302,36047005601,229.6
3277270,36085027302,36047005400,227.73
3277271,36085027302,36047005202,227.2
3277278,36085027302,36085006700,79.55
3277282,36085027302,36047005201,225.3
3277284,36085027302,36047005000,221.5
3277285,36085027302,36047004600,213.76
3277286,36085027302,36047004400,212.39
3277297,36085027302,36047003800,210.31
3277299,36085027302,36047003400,205.95
3277310,36085027302,36047005602,232.94
3277311,36085027302,36047016400,243.56
3277313,36085027302,36085015400,85.66
3277314,36085027302,36085012805,75.33
3277316,36085027302,36085013204,73.3
3277322,36085027302,36085015603,97.29
3277324,36085027302,36085019800,138.66
3277325,36085027302,36085020803,125.06
3277326,36085027302,36085017600,111.4
3277331,36085027302,36085020804,111.91
3277341,36085027302,36085017007,83.02
3277669,36085027900,36085012804,47.97
3277671,36085027900,36085011201,64.6
3277674,36085027900,36085027900,0.0
3277675,36085027900,36085012806,39.18
3277677,36085027900,36085013800,17.83
3277681,36085027900,36085018100,39.09
3277684,36085027900,36085027302,50.69
3277686,36085027900,36085027301,59.41
3277690,36085027900,36085007400,95.38
3277694,36085027900,36085027704,39.26
3277697,36085027900,36085029102,85.94
3277713,36085027900,36085001800,99.81
3277719,36085027900,36085014700,75.75
3277729,36085027900,36085013302,97.07
3277732,36085027900,36047005601,259.43
3277734,36085027900,36047005400,257.56
3277735,36085027900,36047005202,257.03
3277742,36085027900,36085006700,112.59
3277746,36085027900,36047005201,255.13
3277748,36085027900,36047005000,251.34
3277764,36085027900,36047005602,262.77
3277765,36085027900,36047016400,273.4
3277767,36085027900,36085015400,48.94
3277768,36085027900,36085012805,41.15
3277770,36085027900,36085013204,36.57
3277776,36085027900,36085015603,64.7
3277778,36085027900,36085019800,118.69
3277779,36085027900,36085020803,106.64
3277780,36085027900,36085017600,90.91
