,origin,destination,minutes
1661410,17031750500,17031710700,91.59
1661411,17031750500,17031700401,121.19
1661413,17031750500,17031710800,93.4
1661415,17031750500,17031691200,107.83
1661423,17031750500,17031540101,100.03
1661424,17031750500,17031530502,65.81
1661425,17031750500,17031550200,148.73
1661428,17031750500,17031530400,48.4
1661429,17031750500,17031530501,57.71
1661430,17031750500,17031750400,18.63
1661431,17031750500,17031530300,25.96
1661432,17031750500,17031540102,97.16
1661433,17031750500,17031530100,60.68
1661434,17031750500,17031750500,0.0
1661435,17031750500,17031530200,46.71
1661436,17031750500,17031750600,26.86
1661439,17031750500,17031838800,137.08
1661440,17031750500,17031491400,63.63
1661441,17031750500,17031500300,71.39
1661443,17031750500,17031750200,13.39
1661444,17031750500,17031750100,33.49
1661445,17031750500,17031491100,48.01
1661447,17031750500,17031720700,26.29
1661448,17031750500,17031491000,58.37
1661449,17031750500,17031730700,42.93
1661451,17031750500,17031500200,83.12
1661454,17031750500,17031490700,69.31
1661455,17031750500,17031730500,62.11
1661456,17031750500,17031490600,75.22
1661457,17031750500,17031500100,102.84
1661458,17031750500,17031490500,91.11
1661459,17031750500,17031510300,138.92
1661460,17031750500,17031730100,73.1
1661461,17031750500,17031490400,99.13
1661462,17031750500,17031440900,108.72
1661463,17031750500,17031470100,119.46
1661467,17031750500,17031440800,115.55
1661471,17031750500,17031480100,148.96
1661472,17031750500,17031440202,120.0
1661474,17031750500,17031440300,110.04
1661476,17031750500,17031834300,138.47
1661506,17031750500,17031530503,60.22
1661507,17031750500,17031740400,48.29
1661508,17031750500,17031740300,52.02
1661520,17031750400,17031700100,108.84
1661525,17031750400,17031710200,114.18
1661526,17031750400,17031700200,124.07
1661527,17031750400,17031650500,153.58
1661529,17031750400,17031681300,126.08
1661530,17031750400,17031672000,117.45
1661533,17031750400,17031661000,108.53
1661537,17031750400,17031720600,30.27
1661539,17031750400,17031720200,49.78
1661540,17031750400,17031730400,63.01
1661546,17031750400,17031720500,27.59
1661549,17031750400,17031720400,37.44
1661559,17031750400,17031700402,97.3
1661560,17031750400,17031700502,79.48
1661561,17031750400,17031720100,64.28
1661563,17031750400,17031730201,75.74
1661565,17031750400,17031711300,77.61
1661567,17031750400,17031711500,93.19
1661568,17031750400,17031711200,88.17
1661569,17031750400,17031711100,92.86
1661570,17031750400,17031711000,93.36
1661571,17031750400,17031842400,111.91
1661573,17031750400,17031700302,113.12
1661577,17031750400,17031710900,99.81
1661578,17031750400,17031710500,96.88
1661580,17031750400,17031710700,102.44
1661581,17031750400,17031700401,110.47
1661583,17031750400,17031710800,104.24
1661585,17031750400,17031691200,118.68
1661592,17031750400,17031540101,112.92
1661593,17031750400,17031530502,78.71
1661594,17031750400,17031550200,161.62
