origin,destination,minutes
34017014101,36005008500,184.14
34003006100,36005008500,151.32
34003006300,36005008500,168.19
34003006201,36005008500,156.33
34003019103,36005008500,122.86
34003019203,36005008500,116.73
34003019204,36005008500,124.02
34003019303,36005008500,129.74
34003019304,36005008500,141.28
34003019305,36005008500,120.96
34003018100,36005008500,171.28
34003041301,36005008500,156.76
34003041302,36005008500,139.71
34003028002,36005008500,132.06
34003006202,36005008500,146.05
34003019306,36005008500,139.4
34003013001,36005008500,164.66
34003041200,36005008500,146.78
34003045100,36005008500,164.4
34003018200,36005008500,171.91
34017014102,36005008500,188.06
34003013002,36005008500,133.55
34003019104,36005008500,116.03
34003019202,36005008500,114.23
34003019102,36005008500,113.98
34003015500,36005008500,152.34
34003016000,36005008500,147.34
36061010601,36005008500,114.01
36061011401,36005008500,113.88
36061014300,36005008500,98.25
36061012200,36005008500,108.46
36061012000,36005008500,105.49
36061011000,36005008500,108.46
36061010602,36005008500,107.41
36061011402,36005008500,110.63
36061023801,36005008500,123.0
36081017100,36005008500,115.41
36081000100,36005008500,110.95
36081001900,36005008500,121.46
36081017900,36005008500,123.04
36081016100,36005008500,106.21
36081016300,36005008500,107.5
36081048300,36005008500,135.77
36081029500,36005008500,108.52
36081024700,36005008500,130.75
36081024900,36005008500,126.26
36081025500,36005008500,116.55
36081025700,36005008500,117.73
36081025900,36005008500,120.59
36081026100,36005008500,124.22
36081026300,36005008500,128.56
36081004500,36005008500,98.0
36081005900,36005008500,98.15
36081006100,36005008500,94.67
36081007500,36005008500,91.35
36081007700,36005008500,95.57
36081008100,36005008500,94.21
36061014401,36005008500,84.87
36061014601,36005008500,86.03
36061015200,36005008500,79.31
36061015001,36005008500,89.81
36061014402,36005008500,82.51
36061014802,36005008500,83.16
36061014801,36005008500,86.73
36061014602,36005008500,83.62
36081007900,36005008500,92.31
36061017300,36005008500,98.35
36061015002,36005008500,86.77
36061012600,36005008500,99.36
36061011600,36005008500,103.84
36061012800,36005008500,98.33
36061011800,36005008500,104.37
36061012400,36005008500,98.31
36061013000,36005008500,101.52
36061015700,36005008500,113.18
36061015300,36005008500,117.84
36081018101,36005008500,123.98
36081018102,36005008500,122.91
36081018300,36005008500,122.18
36081002500,36005008500,116.79
36081003100,36005008500,107.76
36081003700,36005008500,105.46
36081003900,36005008500,105.79
36081003300,36005008500,108.83
36081008500,36005008500,108.15
36061015900,36005008500,120.12
36061016100,36005008500,109.69
36061016300,36005008500,115.59
36061013400,36005008500,94.33
36061013200,36005008500,93.05
36061023802,36005008500,125.77
36081004300,36005008500,103.74
36081005100,36005008500,103.98
36061016500,36005008500,106.99
36061016700,36005008500,111.5
36061016900,36005008500,101.83
36061017100,36005008500,107.98
36061013800,36005008500,89.65
36061014200,36005008500,94.41
36061014000,36005008500,90.91
36081025301,36005008500,120.93
36081005500,36005008500,107.32
36081025302,36005008500,122.75
36081015700,36005008500,105.91
36081004700,36005008500,100.84
36081005300,36005008500,97.65
36061013600,36005008500,88.59
36081016900,36005008500,118.14
36081025100,36005008500,121.83
36081005700,36005008500,101.7
36081015300,36005008500,101.56
36081015500,36005008500,99.82
36081015900,36005008500,105.36
36005021900,36005008500,49.36
36005007300,36005008500,12.91
36005024100,36005008500,59.69
36005004100,36005008500,26.79
36005022500,36005008500,44.72
36005003500,36005008500,13.9
36005003300,36005008500,22.03
36005014300,36005008500,27.59
36005022701,36005008500,52.77
36005040100,36005008500,74.39
36005016300,36005008500,32.87
36005023900,36005008500,67.66
36005026500,36005008500,78.08
36005028700,36005008500,106.38
36005021301,36005008500,58.29
36005021502,36005008500,61.54
36005005902,36005008500,28.94
36005030701,36005008500,120.71
36005028300,36005008500,99.59
36005006700,36005008500,22.75
36005027700,36005008500,98.36
36005026900,36005008500,88.36
36005022703,36005008500,48.86
36005027300,36005008500,91.58
36005007700,36005008500,11.59
36005013300,36005008500,14.15
36005019500,36005008500,37.2
36005006100,36005008500,28.7
36005021501,36005008500,63.86
36005023502,36005008500,56.03
36005002500,36005008500,31.77
36005037900,36005008500,56.68
36005016500,36005008500,42.8
36005014100,36005008500,21.59
36005030100,36005008500,118.62
36005014900,36005008500,26.1
36005019700,36005008500,41.27
36005016700,36005008500,37.31
36005017500,36005008500,31.02
36005022300,36005008500,47.3
36005026300,36005008500,80.32
36005014500,36005008500,28.86
36005002702,36005008500,24.95
36005022901,36005008500,49.22
36005025500,36005008500,74.67
36005029700,36005008500,113.08
36005029500,36005008500,111.64
36005024300,36005008500,63.65
36005022902,36005008500,46.27
36005038100,36005008500,56.89
36005025100,36005008500,66.94
36005016900,36005008500,34.66
36005028500,36005008500,112.81
36005022702,36005008500,50.94
36005023704,36005008500,63.79
36005017100,36005008500,41.57
36005023501,36005008500,58.14
36005002701,36005008500,27.56
36005002300,36005008500,33.53
36005024900,36005008500,72.24
36005003700,36005008500,18.05
36005025700,36005008500,76.56
36005026100,36005008500,85.92
36005014701,36005008500,32.93
36005014702,36005008500,35.2
36005017701,36005008500,33.97
36005017702,36005008500,38.04
36005017901,36005008500,38.22
36005017902,36005008500,41.51
36005018101,36005008500,34.32
36005018102,36005008500,36.07
36005018301,36005008500,34.25
36005018302,36005008500,32.25
36005022101,36005008500,45.11
36005022102,36005008500,44.16
36005023703,36005008500,67.86
36005024501,36005008500,65.72
36005024502,36005008500,67.79
36005026701,36005008500,85.17
36005026702,36005008500,88.36
36005029302,36005008500,111.6
36005038301,36005008500,63.18
36005038302,36005008500,62.53
36005021700,36005008500,57.32
36005023702,36005008500,67.71
36005039500,36005008500,50.15
36061026100,36005008500,71.75
36061026900,36005008500,70.66
36061021800,36005008500,68.54
36061021100,36005008500,73.35
36061020500,36005008500,82.56
36061029300,36005008500,89.27
36061031100,36005008500,69.06
36061021600,36005008500,71.94
36061026500,36005008500,75.22
36061021500,36005008500,61.22
36061025700,36005008500,69.0
36061025900,36005008500,47.96
36061029900,36005008500,88.19
36061022700,36005008500,55.61
36061023100,36005008500,53.77
36061021303,36005008500,65.46
36005005300,36005008500,71.41
36005018900,36005008500,45.13
36005024700,36005008500,71.85
36005021100,36005008500,51.67
36005019300,36005008500,47.83
36005019900,36005008500,47.2
36005020100,36005008500,54.74
36005020501,36005008500,61.41
36005020502,36005008500,67.18
36005029301,36005008500,119.66
36005030900,36005008500,131.84
36005006300,36005008500,36.78
36061015400,36005008500,79.7
36061015801,36005008500,78.56
36061015601,36005008500,76.08
36061024000,36005008500,50.33
36061020600,36005008500,47.35
36061018000,36005008500,59.27
36061016002,36005008500,78.12
36061017000,36005008500,64.88
36061018100,36005008500,91.88
36061017402,36005008500,67.23
36061016400,36005008500,69.83
36061018200,36005008500,56.92
36061018500,36005008500,89.7
36061021000,36005008500,45.7
36061019000,36005008500,62.43
36061020800,36005008500,51.05
36061018800,36005008500,54.7
36061021200,36005008500,48.61
36061030900,36005008500,99.3
36061019400,36005008500,49.81
36061017401,36005008500,67.93
36061017800,36005008500,55.49
36061018400,36005008500,60.96
36061016200,36005008500,65.44
36061030700,36005008500,98.77
36061018600,36005008500,66.41
36061016600,36005008500,70.6
36061017700,36005008500,94.97
36061019600,36005008500,51.03
36061020000,36005008500,58.04
36061015602,36005008500,75.06
36061015802,36005008500,75.11
36061019200,36005008500,49.23
36061016800,36005008500,72.91
36061019800,36005008500,52.96
36061016001,36005008500,81.12
36061017200,36005008500,63.58
36061024200,36005008500,44.84
36005015100,36005008500,22.32
36005023301,36005008500,55.17
36005028900,36005008500,102.02
36005025300,36005008500,72.68
36005017300,36005008500,26.81
36005006500,36005008500,24.91
36005004300,36005008500,21.98
36005013500,36005008500,19.13
36005023100,36005008500,49.28
36005003900,36005008500,31.24
36005023302,36005008500,52.65
36005007100,36005008500,14.21
36005007500,36005008500,11.69
36005021302,36005008500,53.43
36005006900,36005008500,21.25
36061027100,36005008500,73.69
36061029500,36005008500,99.49
36061021703,36005008500,61.38
36061022900,36005008500,57.66
36061024700,36005008500,66.61
36061018300,36005008500,97.56
36061017500,36005008500,104.5
36061024900,36005008500,65.58
36061021900,36005008500,69.34
36061023900,36005008500,56.8
36061020102,36005008500,73.14
36061028700,36005008500,93.04
36061022301,36005008500,63.88
36061027700,36005008500,77.16
36061023502,36005008500,51.95
36061022102,36005008500,55.13
36061019701,36005008500,84.18
36061019500,36005008500,87.95
36061018900,36005008500,85.61
36061024100,36005008500,61.23
36061020101,36005008500,77.41
36061021400,36005008500,47.97
36061023000,36005008500,48.33
36061026300,36005008500,75.43
36061022400,36005008500,56.84
36061023700,36005008500,63.03
36061024500,36005008500,63.92
36061022200,36005008500,62.06
36061024302,36005008500,55.71
36061022500,36005008500,60.7
36061023200,36005008500,45.16
36061030300,36005008500,95.5
36061023300,36005008500,59.5
36061022302,36005008500,69.16
36061025300,36005008500,71.78
36061020901,36005008500,68.69
36061023600,36005008500,48.1
36061025100,36005008500,67.76
36061025500,36005008500,75.86
36061026700,36005008500,70.66
36061028100,36005008500,81.34
36061029100,36005008500,92.43
36061029700,36005008500,99.6
36061020701,36005008500,74.2
36061028300,36005008500,86.86
36061022600,36005008500,55.84
36061027500,36005008500,79.96
36061020300,36005008500,80.43
36061019702,36005008500,76.21
36061024301,36005008500,62.52
36061028500,36005008500,90.45
36061019100,36005008500,91.54
36061019300,36005008500,81.86
36061017900,36005008500,100.89
36061022800,36005008500,52.35
36061022000,36005008500,64.91
36061027900,36005008500,79.81
36061023400,36005008500,48.39
36061018700,36005008500,94.43
36061023501,36005008500,56.29
36061027300,36005008500,77.47
36061019900,36005008500,84.65
36005001900,36005008500,28.94
36005005100,36005008500,29.1
36005018500,36005008500,22.72
36005020900,36005008500,50.56
36005007900,36005008500,8.12
36005008700,36005008500,6.37
36005003100,36005008500,10.81
36005008500,36005008500,0.0
36005008300,36005008500,5.06
36005039902,36005008500,67.73
36005015300,36005008500,25.11
36005037300,36005008500,49.33
36005012500,36005008500,18.91
36005013100,36005008500,15.36
36005036700,36005008500,37.85
36005039901,36005008500,72.26
36005038500,36005008500,59.78
36005036901,36005008500,42.3
36005027900,36005008500,104.47
36005040900,36005008500,94.56
36005040304,36005008500,78.42
36005036902,36005008500,39.76
36005012901,36005008500,9.79
36005040303,36005008500,82.57
36005033500,36005008500,119.15
36005040302,36005008500,78.74
36005037504,36005008500,49.66
36005039100,36005008500,55.89
36005012101,36005008500,20.19
36005041900,36005008500,90.19
36005012701,36005008500,15.96
36005033400,36005008500,70.84
36005041500,36005008500,80.54
36005038900,36005008500,61.09
36005040702,36005008500,81.04
36005038700,36005008500,60.86
36005042100,36005008500,96.96
36005016100,36005008500,31.86
36005042500,36005008500,83.45
36005012300,36005008500,23.35
36005036300,36005008500,45.69
36005036501,36005008500,44.33
36005015700,36005008500,27.84
36005035900,36005008500,38.82
36005036502,36005008500,40.84
36005028100,36005008500,105.39
36005037100,36005008500,48.33
36005039300,36005008500,54.71
36005035100,36005008500,124.08
36005039700,36005008500,67.78
36005041100,36005008500,88.73
36005041300,36005008500,86.22
36005040701,36005008500,85.39
36005015500,36005008500,31.12
36005043500,36005008500,112.61
36005040501,36005008500,77.51
36005040502,36005008500,75.54
36005015900,36005008500,11.82
36081010701,36005008500,114.9
36005008900,36005008500,7.71
36005011900,36005008500,16.02
36005012102,36005008500,19.76
36005006000,36005008500,42.59
36005022000,36005008500,47.25
36005011502,36005008500,16.47
36005005400,36005008500,30.9
36005006200,36005008500,38.34
36005036100,36005008500,43.56
36005005600,36005008500,34.07
36005005200,36005008500,27.07
36005002800,36005008500,30.28
36005009300,36005008500,14.75
36005005002,36005008500,31.05
36005042300,36005008500,92.68
36005011700,36005008500,16.2
36081008700,36005008500,94.45
36081009100,36005008500,88.6
36081009500,36005008500,80.55
36081009700,36005008500,84.66
36081009900,36005008500,89.24
36081010100,36005008500,88.31
36081010300,36005008500,92.44
36081010500,36005008500,99.22
36081011100,36005008500,94.71
36081011300,36005008500,92.98
36005037600,36005008500,95.34
36005024800,36005008500,76.1
36005005001,36005008500,28.44
36005023000,36005008500,62.79
36005021601,36005008500,52.71
36005003800,36005008500,45.3
36005025000,36005008500,73.77
36005006800,36005008500,39.56
36005008400,36005008500,64.09
36005020601,36005008500,61.39
36005022401,36005008500,69.29
36005020200,36005008500,66.22
36005035800,36005008500,112.02
36005035600,36005008500,107.97
36005019400,36005008500,82.61
36005026602,36005008500,87.75
36005027600,36005008500,106.51
36005030000,36005008500,92.26
36005046202,36005008500,121.34
36005026400,36005008500,83.26
36005026601,36005008500,84.17
36005046201,36005008500,125.71
36005000100,36005008500,30.81
36005034200,36005008500,91.17
36005038200,36005008500,104.5
36005009800,36005008500,55.17
36005039400,36005008500,113.36
36005021800,36005008500,48.36
36005036800,36005008500,101.23
36005023200,36005008500,61.42
36005022404,36005008500,66.87
36005000400,36005008500,61.8
36005002000,36005008500,45.69
36005002400,36005008500,36.8
36005007400,36005008500,57.02
36005001600,36005008500,49.07
