origin,destination,minutes
36047006200,36047041402,76.69
36047006400,36047041402,75.39
36047027600,36047041402,37.14
36047034800,36047041402,43.02
36047028400,36047041402,37.99
36047028800,36047041402,35.12
36047029000,36047041402,32.18
36047029600,36047041402,31.45
36047030000,36047041402,26.54
36047030200,36047041402,29.56
36047030600,36047041402,32.43
36047030800,36047041402,38.37
36047013600,36047041402,69.85
36047013800,36047041402,71.71
36047014000,36047041402,64.32
36047014200,36047041402,68.68
36047014800,36047041402,55.62
36047015000,36047041402,52.73
36047016000,36047041402,74.55
36047027800,36047041402,40.79
36085990100,36047041402,355.23
36047032800,36047041402,60.72
36047033000,36047041402,63.73
36047033600,36047041402,65.72
36047034000,36047041402,62.33
36047034200,36047041402,63.97
36047035200,36047041402,57.38
36047005000,36047041402,85.23
36047005201,36047041402,88.0
36047005202,36047041402,89.28
36047005400,36047041402,86.75
36047015200,36047041402,71.69
36047005601,36047041402,87.29
36047005602,36047041402,87.53
36047005800,36047041402,81.97
36047028200,36047041402,46.6
36047028600,36047041402,43.73
36047029200,36047041402,38.98
36047029400,36047041402,37.69
36047030400,36047041402,33.84
36047031400,36047041402,36.9
36047015400,36047041402,64.97
36047016200,36047041402,83.6
36047028000,36047041402,48.47
36047004600,36047041402,80.65
36047990100,36047041402,48.86
36047016400,36047041402,73.97
36047016800,36047041402,61.14
36047017400,36047041402,55.89
36047017600,36047041402,52.12
36081990100,36047041402,160.1
36047032600,36047041402,53.56
36047003400,36047041402,89.04
36047003800,36047041402,87.44
36047016600,36047041402,60.43
36047004400,36047041402,82.39
36047006000,36047041402,79.4
36085000600,36047041402,217.67
36085001800,36047041402,238.45
36085000800,36047041402,219.01
36085002001,36047041402,232.92
36085002002,36047041402,235.87
36085002100,36047041402,191.5
36085007000,36047041402,251.24
36085007400,36047041402,244.02
36047017000,36047041402,55.98
36047017200,36047041402,53.66
36047017800,36047041402,46.68
36047018000,36047041402,50.12
36047018200,36047041402,42.92
36047018400,36047041402,48.54
36047035000,36047041402,40.41
36047018800,36047041402,44.97
36047019000,36047041402,47.66
36047019600,36047041402,52.61
36047019800,36047041402,49.66
36047020000,36047041402,52.54
36047020200,36047041402,55.43
36047020400,36047041402,58.31
36047020600,36047041402,61.33
36047020800,36047041402,58.58
36047021000,36047041402,58.77
36047035400,36047041402,40.96
36047003000,36047041402,85.04
36047003600,36047041402,83.65
36047038200,36047041402,27.9
36047038600,36047041402,20.33
36047039800,36047041402,17.77
36047040000,36047041402,15.38
36047040200,36047041402,22.35
36047006600,36047041402,78.2
36047006800,36047041402,80.17
36047007000,36047041402,80.76
36047026000,36047041402,37.35
36047026200,36047041402,42.52
36047026400,36047041402,38.56
36047026600,36047041402,31.56
36047026800,36047041402,29.01
36047027000,36047041402,25.29
36047027200,36047041402,28.45
36047027400,36047041402,33.87
36047012600,36047041402,73.66
36047029800,36047041402,23.31
36047040400,36047041402,21.39
36047040600,36047041402,16.74
36047042800,36047041402,19.27
36047043000,36047041402,23.02
36047012801,36047041402,65.85
36047013000,36047041402,73.73
36047013200,36047041402,64.69
36047013400,36047041402,71.05
36047018600,36047041402,45.06
36047053400,36047041402,31.86
36047053800,36047041402,29.41
36047054200,36047041402,18.48
36047054400,36047041402,20.9
36047054800,36047041402,26.54
36047055000,36047041402,20.8
36047055200,36047041402,17.68
36047055400,36047041402,12.77
36047055600,36047041402,10.8
36047055800,36047041402,14.41
36047056000,36047041402,17.96
36047056200,36047041402,22.57
36047056400,36047041402,28.99
36047048600,36047041402,53.6
36047048800,36047041402,53.18
36047049000,36047041402,48.15
36047049200,36047041402,53.03
36047075800,36047041402,28.87
36047000200,36047041402,88.62
36047001800,36047041402,99.01
36047002000,36047041402,86.65
36047019200,36047041402,51.95
36047019400,36047041402,48.98
36047021200,36047041402,56.34
36047021400,36047041402,57.98
36047021600,36047041402,58.23
36047021800,36047041402,59.06
36047075200,36047041402,42.88
36047075400,36047041402,36.88
36047075600,36047041402,30.74
36047076000,36047041402,34.59
36047076200,36047041402,40.34
36047076400,36047041402,48.79
36047076600,36047041402,50.82
36047077000,36047041402,56.98
36047077200,36047041402,51.82
36047036001,36047041402,39.84
36047036002,36047041402,41.14
36047036200,36047041402,37.1
36047036400,36047041402,35.24
36047036600,36047041402,31.98
36047037000,36047041402,23.16
36047057400,36047041402,29.71
36047057600,36047041402,27.43
36047057800,36047041402,23.92
36047058000,36047041402,19.36
36047058200,36047041402,15.53
36047058400,36047041402,20.6
36047058600,36047041402,25.05
36047058800,36047041402,26.15
36047059000,36047041402,27.78
36047059200,36047041402,31.28
36047059401,36047041402,34.61
36047059402,36047041402,38.94
36047002200,36047041402,83.16
36047060600,36047041402,31.25
36047022000,36047041402,59.69
36047022200,36047041402,60.65
36047022400,36047041402,61.94
36047022600,36047041402,62.72
36047022800,36047041402,55.46
36047023000,36047041402,55.35
36047023200,36047041402,55.17
36047023400,36047041402,53.07
36047023600,36047041402,52.84
36047023800,36047041402,52.72
36047024000,36047041402,50.15
36047024200,36047041402,45.04
36047024400,36047041402,35.66
36047024600,36047041402,28.86
36047024800,36047041402,36.69
36047062000,36047041402,47.04
36047150200,36047041402,73.57
36047005300,36047041402,121.36
36047038800,36047041402,16.74
36047039000,36047041402,15.79
36047039200,36047041402,13.83
36047039400,36047041402,11.09
36047039600,36047041402,10.56
36047059600,36047041402,44.62
36047060000,36047041402,40.82
36047060800,36047041402,37.42
36047061200,36047041402,44.5
36047062200,36047041402,55.55
36047064200,36047041402,28.85
36047007200,36047041402,78.99
36047007400,36047041402,78.19
36047007600,36047041402,80.7
36047007800,36047041402,81.66
36047008000,36047041402,82.26
36047008200,36047041402,85.19
36047008400,36047041402,87.57
36047025000,36047041402,42.7
36047025200,36047041402,38.49
36047025400,36047041402,28.47
36047025600,36047041402,29.38
36047025800,36047041402,30.53
36047046000,36047041402,41.69
36047076800,36047041402,26.31
36047152200,36047041402,58.28
36047035601,36047041402,35.27
36047035602,36047041402,36.82
36047037401,36047041402,23.01
36047037402,36047041402,27.84
36047040800,36047041402,13.23
36047041000,36047041402,9.88
36047041200,36047041402,9.24
36047041401,36047041402,5.41
36047041402,36047041402,0.0
36047041600,36047041402,6.19
36047041800,36047041402,6.55
36047049400,36047041402,54.33
36047049600,36047041402,60.63
36047049800,36047041402,64.92
36047050000,36047041402,63.43
36047050202,36047041402,72.3
36047042000,36047041402,11.47
36047042200,36047041402,6.55
36047042400,36047041402,13.01
36047042600,36047041402,15.41
36047043200,36047041402,21.4
36047043400,36047041402,17.64
36047043600,36047041402,20.36
36047043800,36047041402,11.95
36047044000,36047041402,14.55
36047044200,36047041402,14.88
36047008600,36047041402,79.29
36047008800,36047041402,80.01
36047009000,36047041402,74.13
36047009200,36047041402,73.27
36047009400,36047041402,71.42
36047009600,36047041402,77.0
36047009800,36047041402,76.28
36047010000,36047041402,75.13
36047010100,36047041402,93.3
36047010200,36047041402,72.99
36047010400,36047041402,66.98
36047010600,36047041402,69.46
36047010800,36047041402,70.59
36047011000,36047041402,68.75
36047011200,36047041402,67.67
36047011400,36047041402,66.04
36047011600,36047041402,63.73
36047011700,36047041402,98.86
36047011800,36047041402,68.2
36047012000,36047041402,62.31
36047012200,36047041402,75.43
36047050400,36047041402,62.67
36047050600,36047041402,66.85
36047051200,36047041402,65.31
36047051400,36047041402,60.52
36047051800,36047041402,52.2
36047052000,36047041402,50.46
36047052600,36047041402,48.99
36047052800,36047041402,43.48
36047053000,36047041402,38.41
36047053200,36047041402,39.08
36047044400,36047041402,17.55
36047044600,36047041402,21.76
36047044800,36047041402,21.65
36047045000,36047041402,31.51
36047045200,36047041402,24.24
36047045400,36047041402,24.22
36047045600,36047041402,35.84
36047045800,36047041402,33.94
36047046201,36047041402,38.88
36047046202,36047041402,33.23
36047046400,36047041402,36.5
36047046800,36047041402,33.62
36047047000,36047041402,42.44
36047047200,36047041402,42.52
36047047400,36047041402,43.59
36047047600,36047041402,44.98
36047047800,36047041402,47.28
36047048000,36047041402,41.53
36047048200,36047041402,42.59
36047048400,36047041402,43.83
36047014100,36047041402,93.31
36047014300,36047041402,90.86
36047014500,36047041402,92.9
36047014700,36047041402,86.34
36047014900,36047041402,87.5
36047054600,36047041402,23.6
36047061002,36047041402,44.55
36047061600,36047041402,52.4
36047051601,36047041402,56.77
36047061003,36047041402,35.89
36047061004,36047041402,41.62
36047016900,36047041402,81.39
36047017100,36047041402,76.2
36047017500,36047041402,78.1
36047017700,36047041402,81.34
36081091601,36047041402,162.33
36047011900,36047041402,113.1
36047007700,36047041402,114.6
36047013900,36047041402,97.27
36047015100,36047041402,92.49
36047016700,36047041402,89.43
36047012100,36047041402,104.45
36047013500,36047041402,105.41
36047013700,36047041402,101.51
36047015300,36047041402,96.49
36047032700,36047041402,91.83
36047066600,36047041402,65.95
36047074600,36047041402,36.39
36047074800,36047041402,39.2
36047075000,36047041402,45.02
36047077400,36047041402,54.36
36047077600,36047041402,52.58
36047078000,36047041402,60.45
36047078200,36047041402,64.21
36047078400,36047041402,58.48
36047078600,36047041402,62.52
36047078800,36047041402,60.38
36047079000,36047041402,62.5
36047079200,36047041402,66.95
36047079400,36047041402,72.11
36047080200,36047041402,86.96
36047056600,36047041402,31.09
36047056800,36047041402,35.93
36047057000,36047041402,40.52
36047057200,36047041402,42.19
36047081800,36047041402,82.96
36047063600,36047041402,38.7
36047063800,36047041402,33.76
36047064000,36047041402,35.17
36047064400,36047041402,33.57
36047064600,36047041402,37.63
36047064800,36047041402,41.26
36047065000,36047041402,46.49
36047065600,36047041402,40.16
36047050801,36047041402,73.06
36047050803,36047041402,76.98
36047050804,36047041402,74.23
36047051001,36047041402,66.07
36047013300,36047041402,109.32
36047015500,36047041402,100.45
36047015700,36047041402,103.88
36047082000,36047041402,83.21
36047082200,36047041402,81.16
36047082400,36047041402,76.46
36047082600,36047041402,70.66
36047082800,36047041402,65.81
36047083000,36047041402,66.13
36047083200,36047041402,68.44
36047085400,36047041402,72.54
36047085600,36047041402,77.96
36047051002,36047041402,69.7
36047051602,36047041402,60.43
36047079601,36047041402,83.32
36047079602,36047041402,78.27
36047079801,36047041402,88.46
36047079802,36047041402,85.11
36047016500,36047041402,97.94
36047073400,36047041402,50.84
36047073600,36047041402,46.64
36047073800,36047041402,42.13
36047074000,36047041402,48.49
36047074200,36047041402,46.25
36047074400,36047041402,40.72
36047021300,36047041402,99.0
36047080000,36047041402,91.17
36047065400,36047041402,43.95
36047013100,36047041402,112.84
36047015900,36047041402,105.96
36047032500,36047041402,98.11
36047032100,36047041402,100.68
36047032300,36047041402,98.83
36047032900,36047041402,97.38
36047020500,36047041402,107.72
36047020700,36047041402,104.2
36047021500,36047041402,105.1
36047021700,36047041402,105.68
36047080400,36047041402,91.88
36047081600,36047041402,82.73
36047080800,36047041402,94.41
36047016100,36047041402,111.37
36047083400,36047041402,70.69
36047085200,36047041402,80.61
36047016300,36047041402,108.68
36047031702,36047041402,106.7
36047031900,36047041402,102.57
36047033100,36047041402,103.52
36047033300,36047041402,105.96
36047080600,36047041402,99.66
36047021900,36047041402,105.4
36047081000,36047041402,94.68
36047081400,36047041402,87.28
36047093200,36047041402,70.12
36047065200,36047041402,46.42
36047065800,36047041402,44.46
36047030500,36047041402,109.11
36047083600,36047041402,67.76
36047083800,36047041402,73.1
36047085000,36047041402,78.63
36047085800,36047041402,82.7
36047072600,36047041402,57.8
36047067400,36047041402,50.87
36047067600,36047041402,55.32
36047087200,36047041402,91.06
36047072800,36047041402,59.44
36047073000,36047041402,52.59
36047073200,36047041402,52.37
36047031701,36047041402,110.41
36047033500,36047041402,108.88
36047022100,36047041402,111.63
36047033700,36047041402,110.83
36047033900,36047041402,113.28
36047093600,36047041402,86.53
36047093800,36047041402,85.56
36047094401,36047041402,70.69
36047094402,36047041402,70.42
36047095000,36047041402,74.75
36047035500,36047041402,105.37
36047099800,36047041402,81.31
36047059800,36047041402,50.67
36047062800,36047041402,55.59
36047062600,36047041402,48.54
36047063200,36047041402,42.33
36047066000,36047041402,49.0
36047094600,36047041402,81.77
36047066200,36047041402,53.45
36047067000,36047041402,55.96
36047084000,36047041402,74.66
36047084600,36047041402,74.83
36047084800,36047041402,80.53
36047086000,36047041402,84.84
36047086200,36047041402,85.54
36047086600,36047041402,92.8
36047086800,36047041402,90.47
36047067200,36047041402,52.57
36047067800,36047041402,59.08
36047069601,36047041402,66.94
36047069602,36047041402,71.07
36047087000,36047041402,90.26
36047087401,36047041402,98.36
36047087600,36047041402,101.14
36047087800,36047041402,96.2
36047088000,36047041402,99.52
36047068000,36047041402,54.59
36047068200,36047041402,55.75
36047068600,36047041402,60.25
36047068800,36047041402,60.81
36047069000,36047041402,59.16
36047069200,36047041402,60.43
36047069800,36047041402,65.3
36047070201,36047041402,76.51
36047070202,36047041402,162.79
36047072000,36047041402,63.74
36047072200,36047041402,63.66
36047072400,36047041402,66.29
36047031500,36047041402,114.26
36047034100,36047041402,113.54
36047093000,36047041402,90.3
36047093400,36047041402,87.5
36047095400,36047041402,78.59
36047095600,36047041402,77.27
36047095800,36047041402,82.83
36047096000,36047041402,87.8
36047099600,36047041402,80.99
36047035300,36047041402,113.01
36047086400,36047041402,90.87
36047098400,36047041402,102.97
