origin,destination,minutes
34025990000,36047057200,347.76
36047006200,36047057200,112.66
36047006400,36047057200,117.18
36047027600,36047057200,78.17
36047034800,36047057200,59.59
36047028400,36047057200,71.02
36047028800,36047057200,68.14
36047029000,36047057200,65.21
36047029600,36047057200,62.84
36047030000,36047057200,56.97
36047030200,36047057200,58.3
36047030600,36047057200,54.57
36047030800,36047057200,57.29
36047013600,36047057200,111.64
36047013800,36047057200,109.22
36047014000,36047057200,102.13
36047014200,36047057200,106.34
36047014800,36047057200,93.4
36047015000,36047057200,90.54
36047016000,36047057200,107.57
36047027800,36047057200,73.81
36047032800,36047057200,77.29
36047033000,36047057200,80.31
36047033600,36047057200,82.3
36047034000,36047057200,78.91
36047034200,36047057200,80.54
36047035200,36047057200,73.95
36047005400,36047057200,118.99
36047015200,36047057200,103.88
36047005601,36047057200,119.54
36047005602,36047057200,119.77
36047005800,36047057200,114.33
36047028200,36047057200,76.53
36047028600,36047057200,73.64
36047029200,36047057200,68.77
36047029400,36047057200,67.45
36047030400,36047057200,62.56
36047031400,36047057200,59.03
36047015400,36047057200,94.89
36047016200,36047057200,115.84
36047028000,36047057200,78.39
36047004600,36047057200,118.75
36047990100,36047057200,65.43
36047016400,36047057200,103.89
36047016800,36047057200,91.06
36047017400,36047057200,85.81
36047017600,36047057200,82.04
36081990100,36047057200,134.15
36047032600,36047057200,70.13
36047016600,36047057200,97.11
36047006000,36047057200,112.45
36047017000,36047057200,87.86
36047017200,36047057200,85.29
36047017800,36047057200,78.33
36047018000,36047057200,81.78
36047018200,36047057200,81.31
36047018400,36047057200,86.15
36047035000,36047057200,56.98
36047018800,36047057200,86.76
36047019000,36047057200,89.09
36047019600,36047057200,94.03
36047019800,36047057200,91.45
36047020000,36047057200,94.34
36047020200,36047057200,97.22
36047020400,36047057200,100.1
36047020600,36047057200,103.12
36047020800,36047057200,100.0
36047021000,36047057200,99.56
36047035400,36047057200,55.31
36047038200,36047057200,50.03
36047038600,36047057200,39.21
36047039800,36047057200,42.34
36047040000,36047057200,44.87
36047040200,36047057200,49.97
36047006600,36047057200,119.99
36047006800,36047057200,121.59
36047007000,36047057200,121.55
36047026000,36047057200,78.77
36047026200,36047057200,83.94
36047026400,36047057200,80.35
36047026600,36047057200,73.33
36047026800,36047057200,70.8
36047027000,36047057200,66.31
36047027200,36047057200,70.24
36047027400,36047057200,75.66
36047012600,36047057200,114.44
36047029800,36047057200,58.91
36047040400,36047057200,58.57
36047040600,36047057200,54.26
36047042800,36047057200,61.06
36047043000,36047057200,64.81
36047012801,36047057200,106.93
36047013000,36047057200,115.16
36047013200,36047057200,106.3
36047013400,36047057200,112.84
36047018600,36047057200,86.85
36047053400,36047057200,53.18
36047053800,36047057200,41.9
36047054200,36047057200,43.2
36047054400,36047057200,39.08
36047054800,36047057200,25.75
36047055000,36047057200,29.32
36047055200,36047057200,33.43
36047055400,36047057200,37.2
36047055600,36047057200,32.45
36047055800,36047057200,27.87
36047056000,36047057200,24.22
36047056200,36047057200,19.64
36047056400,36047057200,17.34
36047048600,36047057200,89.95
36047048800,36047057200,87.71
36047049000,36047057200,81.77
36047049200,36047057200,81.61
36047075800,36047057200,36.36
36047019200,36047057200,91.34
36047019400,36047057200,89.77
36047021200,36047057200,97.14
36047021400,36047057200,97.37
36047021600,36047057200,97.61
36047021800,36047057200,98.45
36047075200,36047057200,48.46
36047075400,36047057200,41.16
36047075600,36047057200,32.1
36047076000,36047057200,45.64
36047076200,36047057200,51.52
36047076400,36047057200,60.93
36047076600,36047057200,60.46
36047077000,36047057200,57.93
36047077200,36047057200,56.19
36047036001,36047057200,50.14
36047036002,36047057200,46.07
36047036200,36047057200,46.62
36047036400,36047057200,44.42
36047036600,36047057200,42.27
36047037000,36047057200,34.14
36047057400,36047057200,12.52
36047057600,36047057200,14.78
