origin,destination,minutes
17031820901,17031842600,205.03
17031700401,17031842600,150.9
17031650500,17031842600,142.67
17031700200,17031842600,156.89
17031831400,17031842600,184.6
17031820700,17031842600,174.24
17031820800,17031842600,131.79
17031814100,17031842600,158.54
17031813701,17031842600,156.86
17031813802,17031842600,152.39
17031813301,17031842600,164.31
17031814300,17031842600,143.71
17031814400,17031842600,149.8
17031650301,17031842600,128.64
17031842800,17031842600,58.35
17031980100,17031842600,120.58
17031843400,17031842600,132.89
17031813702,17031842600,152.64
17031813302,17031842600,159.26
17031835200,17031842600,110.42
17031813801,17031842600,146.13
17031301701,17031842600,110.13
17031301803,17031842600,115.17
17031301802,17031842600,121.24
17031830500,17031842600,108.79
17031301702,17031842600,105.84
17031301801,17031842600,122.4
17031650302,17031842600,121.59
17031301600,17031842600,100.41
17031640100,17031842600,129.05
17031640700,17031842600,146.16
17031640800,17031842600,137.24
17031650100,17031842600,111.77
17031650200,17031842600,119.15
17031650400,17031842600,132.56
17031660400,17031842600,102.03
17031660500,17031842600,111.79
17031560100,17031842600,106.78
17031560200,17031842600,113.0
17031560300,17031842600,113.91
17031711100,17031842600,111.17
17031711200,17031842600,118.8
17031711300,17031842600,127.5
17031711400,17031842600,115.29
17031711500,17031842600,113.03
17031580100,17031842600,63.57
17031580200,17031842600,68.06
17031580600,17031842600,54.42
17031580700,17031842600,49.99
17031580800,17031842600,50.49
17031590500,17031842600,52.87
17031590600,17031842600,43.74
17031590700,17031842600,39.11
17031610300,17031842600,35.16
17031610400,17031842600,30.96
17031610800,17031842600,8.65
17031611000,17031842600,19.57
17031611100,17031842600,22.48
17031611200,17031842600,27.47
17031611300,17031842600,33.25
17031611400,17031842600,37.12
17031611500,17031842600,43.05
17031611600,17031842600,51.63
17031611700,17031842600,46.77
17031611800,17031842600,42.3
17031611900,17031842600,36.72
17031612000,17031842600,28.69
17031612100,17031842600,23.86
17031630100,17031842600,52.79
17031630200,17031842600,57.82
17031630400,17031842600,73.8
17031630500,17031842600,63.89
17031630800,17031842600,82.94
17031843500,17031842600,90.16
17031839700,17031842600,30.45
17031840000,17031842600,31.39
17031560400,17031842600,106.81
17031681100,17031842600,63.94
17031410500,17031842600,61.62
17031410600,17031842600,66.77
