origin,destination,minutes
17031816100,17031230700,139.01
17031816000,17031230700,125.61
17031811000,17031230700,104.34
17031811900,17031230700,97.76
17031812000,17031230700,117.32
17031810800,17031230700,112.15
17031810702,17031230700,100.4
17031831400,17031230700,91.66
17031812301,17031230700,98.11
17031812801,17031230700,108.74
17031812802,17031230700,103.43
17031812302,17031230700,91.34
17031252101,17031230700,83.77
17031831600,17031230700,85.49
17031815200,17031230700,145.15
17031815900,17031230700,115.83
17031810701,17031230700,103.24
17031810900,17031230700,99.36
17031250500,17031230700,82.39
17031812200,17031230700,78.56
17031251400,17031230700,67.22
17031812100,17031230700,62.78
17031812400,17031230700,81.23
17031252000,17031230700,76.81
17031812500,17031230700,75.82
17031812600,17031230700,86.36
17031812700,17031230700,95.99
17031812900,17031230700,110.51
17031813000,17031230700,96.09
17031813100,17031230700,106.93
17031813200,17031230700,121.17
17031813400,17031230700,103.19
17031813500,17031230700,113.64
17031813600,17031230700,110.19
17031813900,17031230700,122.03
17031814000,17031230700,130.21
17031814100,17031230700,114.79
17031814600,17031230700,117.96
17031814700,17031230700,130.6
17031814800,17031230700,144.44
17031814900,17031230700,133.16
17031815000,17031230700,125.92
17031815100,17031230700,137.24
17031170800,17031230700,118.02
17031170900,17031230700,110.6
17031180100,17031230700,95.6
17031250400,17031230700,58.12
17031252102,17031230700,78.3
17031191301,17031230700,63.87
17031190601,17031230700,72.1
17031191302,17031230700,55.65
17031190401,17031230700,81.36
17031190602,17031230700,64.53
17031831500,17031230700,79.58
17031170300,17031230700,116.84
17031170400,17031230700,127.54
17031171000,17031230700,102.16
17031250600,17031230700,55.33
17031250700,17031230700,45.22
17031251200,17031230700,48.06
17031251300,17031230700,57.7
17031251500,17031230700,57.78
17031251900,17031230700,68.46
17031190402,17031230700,74.07
17031170100,17031230700,117.51
17031170200,17031230700,101.31
17031171100,17031230700,92.13
17031810600,17031230700,132.55
17031150502,17031230700,110.97
17031813701,17031230700,93.69
17031813802,17031230700,106.36
17031813301,17031230700,85.01
17031814300,17031230700,121.83
17031814400,17031230700,135.11
17031150501,17031230700,120.28
17031110200,17031230700,122.69
17031110300,17031230700,125.8
17031843400,17031230700,85.05
17031813702,17031230700,89.42
17031813302,17031230700,79.16
17031813801,17031230700,95.62
17031301701,17031230700,86.66
17031301803,17031230700,96.97
17031301802,17031230700,89.31
17031830500,17031230700,98.87
17031301702,17031230700,91.84
17031301801,17031230700,98.44
17031301600,17031230700,94.57
17031580100,17031230700,126.86
17031843500,17031230700,102.68
17031814200,17031230700,111.55
17031292500,17031230700,77.37
17031300500,17031230700,81.84
17031300600,17031230700,80.74
17031290900,17031230700,67.47
17031252201,17031230700,69.81
17031252202,17031230700,63.13
17031843000,17031230700,53.23
17031250300,17031230700,44.38
17031250800,17031230700,37.08
17031251000,17031230700,35.04
17031251100,17031230700,39.62
17031251600,17031230700,49.26
17031251700,17031230700,42.74
17031251800,17031230700,57.87
17031260400,17031230700,46.13
17031260500,17031230700,55.98
17031261000,17031230700,55.28
17031838700,17031230700,59.13
17031841500,17031230700,67.71
17031837300,17031230700,56.33
17031836900,17031230700,42.79
17031831300,17031230700,29.02
17031200401,17031230700,29.25
17031200402,17031230700,25.57
17031190701,17031230700,59.28
17031190702,17031230700,54.66
17031842100,17031230700,20.02
17031836600,17031230700,16.99
17031836800,17031230700,34.88
17031836700,17031230700,28.32
17031831200,17031230700,20.34
17031160502,17031230700,74.39
17031140601,17031230700,85.61
17031140602,17031230700,88.13
17031140301,17031230700,93.78
17031160400,17031230700,78.66
17031160800,17031230700,66.78
17031140302,17031230700,97.14
17031831800,17031230700,104.43
17031160501,17031230700,78.49
17031140701,17031230700,88.89
17031140702,17031230700,84.89
17031140200,17031230700,94.8
17031840800,17031230700,96.81
17031841400,17031230700,76.7
17031841700,17031230700,84.36
17031841600,17031230700,77.56
17031300800,17031230700,88.48
17031151100,17031230700,76.34
17031151200,17031230700,84.09
17031230400,17031230700,7.93
17031230500,17031230700,15.15
17031230600,17031230700,10.29
17031230700,17031230700,0.0
17031230800,17031230700,7.53
17031231100,17031230700,14.26
17031231200,17031230700,9.78
17031190200,17031230700,59.3
17031190300,17031230700,66.64
17031190800,17031230700,50.24
17031190900,17031230700,47.3
17031191000,17031230700,37.24
17031191100,17031230700,38.96
17031191200,17031230700,45.28
17031200200,17031230700,39.58
17031200300,17031230700,32.59
17031250200,17031230700,33.84
17031231500,17031230700,22.26
17031260100,17031230700,32.24
17031260200,17031230700,38.79
17031260300,17031230700,42.07
17031260600,17031230700,50.42
17031260700,17031230700,45.81
17031260800,17031230700,41.53
17031260900,17031230700,49.86
17031270500,17031230700,47.61
17031271300,17031230700,45.76
17031271400,17031230700,43.12
17031271500,17031230700,52.84
17031292200,17031230700,71.25
17031292400,17031230700,71.19
17031300700,17031230700,84.92
17031291200,17031230700,65.57
17031220901,17031230700,22.87
17031220902,17031230700,26.25
17031151001,17031230700,73.57
17031151002,17031230700,66.84
17031150600,17031230700,93.48
17031222900,17031230700,15.86
17031230900,17031230700,11.5
17031190100,17031230700,58.28
17031200100,17031230700,50.68
17031210502,17031230700,41.09
17031150402,17031230700,104.01
17031150401,17031230700,110.69
17031220702,17031230700,36.24
17031220701,17031230700,31.39
17031831700,17031230700,74.31
17031210501,17031230700,46.23
17031150200,17031230700,88.07
17031150300,17031230700,97.24
17031150700,17031230700,86.07
17031150800,17031230700,78.67
17031161100,17031230700,69.83
17031161200,17031230700,60.13
17031161300,17031230700,56.51
17031222700,17031230700,23.49
17031222800,17031230700,18.54
17031230200,17031230700,19.14
17031230300,17031230700,14.24
17031210400,17031230700,47.81
17031221000,17031230700,26.12
17031110400,17031230700,115.41
17031220601,17031230700,35.27
17031220602,17031230700,41.48
17031210602,17031230700,46.82
17031110501,17031230700,117.74
17031110502,17031230700,106.37
17031831100,17031230700,53.41
17031210601,17031230700,49.27
17031160100,17031230700,91.51
17031160200,17031230700,81.8
17031160300,17031230700,74.92
17031221100,17031230700,30.77
17031160900,17031230700,70.26
17031161000,17031230700,65.43
17031120400,17031230700,106.94
17031110100,17031230700,129.34
17031140500,17031230700,86.2
17031130200,17031230700,109.03
17031140400,17031230700,96.56
17031840300,17031230700,124.47
17031841300,17031230700,102.64
17031843200,17031230700,109.76
17031990000,17031230700,131.84
17031300900,17031230700,90.84
17031301100,17031230700,94.64
17031840700,17031230700,88.51
17031301200,17031230700,95.07
17031600700,17031230700,136.24
17031840200,17031230700,145.57
17031600600,17031230700,137.39
17031040700,17031230700,105.87
17031040800,17031230700,102.27
17031040900,17031230700,111.73
17031040201,17031230700,113.33
17031040401,17031230700,120.74
17031040300,17031230700,112.96
17031140100,17031230700,101.02
17031040402,17031230700,127.97
17031031100,17031230700,143.66
17031031000,17031230700,135.2
17031040202,17031230700,123.79
17031040100,17031230700,132.89
17031841200,17031230700,95.22
17031843100,17031230700,73.14
17031310800,17031230700,105.52
17031310900,17031230700,101.38
17031291600,17031230700,82.49
17031842900,17031230700,100.68
17031843300,17031230700,77.06
17031221300,17031230700,40.31
17031221400,17031230700,46.04
17031221500,17031230700,49.78
17031221600,17031230700,54.98
17031832500,17031230700,79.58
17031071500,17031230700,94.94
17031071600,17031230700,92.03
17031071700,17031230700,87.08
17031071800,17031230700,84.54
17031220500,17031230700,45.77
17031071000,17031230700,84.17
17031071100,17031230700,87.94
17031071200,17031230700,93.36
17031071300,17031230700,97.69
17031830900,17031230700,67.09
17031071400,17031230700,101.16
17031220300,17031230700,53.81
17031220400,17031230700,50.56
17031070500,17031230700,87.69
17031070600,17031230700,83.17
17031070700,17031230700,78.95
17031210700,17031230700,55.62
17031210800,17031230700,64.02
17031210900,17031230700,64.98
17031843700,17031230700,80.43
17031051300,17031230700,80.72
17031051400,17031230700,80.09
17031062600,17031230700,85.99
17031062700,17031230700,90.77
17031070300,17031230700,97.05
17031070400,17031230700,92.62
17031210100,17031230700,64.75
17031160700,17031230700,75.69
17031051000,17031230700,80.99
17031160602,17031230700,83.3
17031050500,17031230700,94.33
17031050800,17031230700,90.35
17031050900,17031230700,85.57
17031051100,17031230700,85.5
17031051200,17031230700,88.07
17031160601,17031230700,87.54
17031050300,17031230700,96.59
17031050700,17031230700,93.11
17031062500,17031230700,92.95
17031831900,17031230700,100.55
17031140800,17031230700,94.41
17031050200,17031230700,103.67
17031050600,17031230700,100.12
17031062400,17031230700,98.02
17031062800,17031230700,95.41
17031070101,17031230700,107.69
17031070102,17031230700,107.67
17031070103,17031230700,102.85
17031070200,17031230700,102.16
17031062900,17031230700,100.42
17031063000,17031230700,104.45
17031063400,17031230700,108.62
17031063301,17031230700,110.29
17031063303,17031230700,118.46
17031063302,17031230700,114.32
17031063100,17031230700,114.36
17031063200,17031230700,117.91
17031062200,17031230700,108.13
17031062300,17031230700,102.79
17031832000,17031230700,116.04
17031061901,17031230700,122.72
17031061902,17031230700,123.01
17031060300,17031230700,105.26
17031060400,17031230700,110.87
